"MATERIAL","INSTALLED","NOM_DIA_MM","LENGTH","condition_overall_score_label","condition_CCTV_score","condition_CCTV_date","condition_CCTV_source","condition_CCTV_app_availability","condition_instability_score","condition_corrosivity_score","condition_age_score","SHAPE_Length"
"BRICK",1911,2100,167.02,"3","3","2009","te puna wai","no",1,1,4,167.01980945386
"CONC",1973,1600,291.37,"2","None","None","None","no",3,3,2,291.365081167227
"CONC",1978,1350,79.2,"2","1","2013","CCTV Footage Review Log South_Latest.xls","no",1,3,2,79.203773186806
"BRICK",1911,1500,237.94,"3","3","2013","CCTV Footage Review Log South_Latest.xls","no",1,1,4,237.941008045563
"BRICK",1911,1500,144.36,"3","3","2013","CCTV Footage Review Log South_Latest.xls","no",1,1,4,144.363828935292
"BRICK",1911,1500,12.69,"4","4","2013","CCTV Footage Review Log South_Latest.xls","no",1,1,4,12.6861373870829
"BRICK",1911,1500,13.02,"3","2","2013","CCTV Footage Review Log South_Latest.xls","no",1,1,4,13.0248687299633
"BRICK",1911,1500,96.82,"3","3","2010","te puna wai","no",1,1,4,96.821260600362
"CONC",1971,1200,79.37,"2","2","2016","te puna wai","no",1,3,2,79.3725429701527
"CONC",1971,1200,30.41,"2","2","2016","te puna wai","no",1,3,2,30.4113144648834
"CONC",1971,1200,60.97,"2","2","2016","te puna wai","no",5,3,2,60.9726380176495
"CONC",1964,2100,131.53,"3","3","2010","te puna wai","no",1,3,2,131.530027280801
"CONC",1964,1200,449.25,"3","3","2016","te puna wai","no",1,3,2,449.252335905282
"BRICK",1911,1800,654.62,"3","None","None","None","no",1,1,4,654.620282157074
"CONC",1964,2100,122.4,"3","3","2010","te puna wai","no",1,3,2,122.399636951811
"CONC",2012,1500,400.79,"3","3","2016","te puna wai","no",1,1,1,400.785177916806
"CONC",1964,1350,177.75,"2","1","2019","CCTV Footage Review Log South_Latest.xls","no",1,3,2,177.748950462755
"CONC",1964,1350,108.23,"4","4","2019","CCTV Footage Review Log South_Latest.xls","no",1,3,2,108.227238077484
"CONC",1964,1350,109.52,"4","4","2019","CCTV Footage Review Log South_Latest.xls","no",1,3,2,109.52060118354
"CONC",1964,2100,124,"3","3","2009","te puna wai","no",1,3,2,123.997614235281
